"Device class         ","Serial number        ","MAC_ETH              ",DAK-PW,Manufacturer,Device type,Date of manufacture
PLC-Head-End,C10625050009,00:0B:C2:19:98:EF,n.a.,Corinex,CXP-GPH,20250527
PLC-Head-End,C10625050015,00:0B:C2:19:98:FB,n.a.,Corinex,CXP-GPH,20250527
PLC-Head-End,C10625050016,00:0B:C2:19:98:FD,n.a.,Corinex,CXP-GPH,20250527
PLC-Head-End,C10625050018,00:0B:C2:19:99:01,n.a.,Corinex,CXP-GPH,20250527
PLC-Head-End,C10625050019,00:0B:C2:19:99:03,n.a.,Corinex,CXP-GPH,20250527
PLC-Head-End,C10625050020,00:0B:C2:19:99:05,n.a.,Corinex,CXP-GPH,20250527
PLC-Head-End,C10625050028,00:0B:C2:19:99:15,n.a.,Corinex,CXP-GPH,20250527
PLC-Head-End,C10625050031,00:0B:C2:19:99:1B,n.a.,Corinex,CXP-GPH,20250527
PLC-Head-End,C10625050034,00:0B:C2:19:99:21,n.a.,Corinex,CXP-GPH,20250527
PLC-Head-End,C10625050045,00:0B:C2:19:99:37,n.a.,Corinex,CXP-GPH,20250527
PLC-Head-End,C10625050054,00:0B:C2:19:99:49,n.a.,Corinex,CXP-GPH,20250527
PLC-Head-End,C10625050056,00:0B:C2:19:99:4D,n.a.,Corinex,CXP-GPH,20250527
PLC-Head-End,C10625050057,00:0B:C2:19:99:4F,n.a.,Corinex,CXP-GPH,20250527
PLC-Head-End,C10625050069,00:0B:C2:19:99:67,n.a.,Corinex,CXP-GPH,20250527
PLC-Head-End,C10625050091,00:0B:C2:19:99:93,n.a.,Corinex,CXP-GPH,20250527
PLC-Head-End,C10625050095,00:0B:C2:19:99:9B,n.a.,Corinex,CXP-GPH,20250527
PLC-Head-End,C10625050111,00:0B:C2:19:99:BB,n.a.,Corinex,CXP-GPH,20250527
PLC-Head-End,C10625050114,00:0B:C2:19:99:C1,n.a.,Corinex,CXP-GPH,20250527
PLC-Head-End,C10625050120,00:0B:C2:19:99:CD,n.a.,Corinex,CXP-GPH,20250527
PLC-Head-End,C10625050125,00:0B:C2:19:99:D7,n.a.,Corinex,CXP-GPH,20250527
PLC-Head-End,C10625050240,00:0B:C2:19:9A:BD,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625050275,00:0B:C2:19:9B:03,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625050426,00:0B:C2:19:9C:31,n.a.,Corinex,CXP-GPH,20250527
PLC-Head-End,C10625050470,00:0B:C2:19:9C:89,n.a.,Corinex,CXP-GPH,20250527
