serialNumber,macAddress,type,registrationStatus,accessToken,desiredConfigurationTemplate,desiredConfigurationMd5,desiredConfigurationSize
C10625050009,00:0B:C2:19:98:EF,P300,ACTIVATED,185803000BC21998EF,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625050015,00:0B:C2:19:98:FB,P300,ACTIVATED,185803000BC21998FB,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625050016,00:0B:C2:19:98:FD,P300,ACTIVATED,185803000BC21998FD,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625050018,00:0B:C2:19:99:01,P300,ACTIVATED,185803000BC2199901,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625050019,00:0B:C2:19:99:03,P300,ACTIVATED,185803000BC2199903,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625050020,00:0B:C2:19:99:05,P300,ACTIVATED,185803000BC2199905,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625050028,00:0B:C2:19:99:15,P300,ACTIVATED,185803000BC2199915,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625050031,00:0B:C2:19:99:1B,P300,ACTIVATED,185803000BC219991B,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625050034,00:0B:C2:19:99:21,P300,ACTIVATED,185803000BC2199921,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625050045,00:0B:C2:19:99:37,P300,ACTIVATED,185803000BC2199937,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625050054,00:0B:C2:19:99:49,P300,ACTIVATED,185803000BC2199949,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625050056,00:0B:C2:19:99:4D,P300,ACTIVATED,185803000BC219994D,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625050057,00:0B:C2:19:99:4F,P300,ACTIVATED,185803000BC219994F,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625050069,00:0B:C2:19:99:67,P300,ACTIVATED,185803000BC2199967,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625050091,00:0B:C2:19:99:93,P300,ACTIVATED,185803000BC2199993,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625050095,00:0B:C2:19:99:9B,P300,ACTIVATED,185803000BC219999B,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625050111,00:0B:C2:19:99:BB,P300,ACTIVATED,185803000BC21999BB,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625050114,00:0B:C2:19:99:C1,P300,ACTIVATED,185803000BC21999C1,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625050120,00:0B:C2:19:99:CD,P300,ACTIVATED,185803000BC21999CD,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625050125,00:0B:C2:19:99:D7,P300,ACTIVATED,185803000BC21999D7,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625050240,00:0B:C2:19:9A:BD,P300,ACTIVATED,185803000BC2199ABD,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625050275,00:0B:C2:19:9B:03,P300,ACTIVATED,185803000BC2199B03,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625050426,00:0B:C2:19:9C:31,P300,ACTIVATED,185803000BC2199C31,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625050470,00:0B:C2:19:9C:89,P300,ACTIVATED,185803000BC2199C89,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625050471,00:0B:C2:19:9C:8B,P300,ACTIVATED,185803000BC2199C8B,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625050596,00:0B:C2:19:9D:85,P300,ACTIVATED,185803000BC2199D85,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625050599,00:0B:C2:19:9D:8B,P300,ACTIVATED,185803000BC2199D8B,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625050600,00:0B:C2:19:9D:8D,P300,ACTIVATED,185803000BC2199D8D,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625050607,00:0B:C2:19:9D:9B,P300,ACTIVATED,185803000BC2199D9B,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
