serialNumber,macAddress,type,registrationStatus,accessToken,desiredConfigurationTemplate,desiredConfigurationMd5,desiredConfigurationSize
ECRX3623000001,000BC21713F4,P300,ACTIVATED,00185803000bc21713f4,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000002,000BC21713F5,P300,ACTIVATED,00185803000bc21713f5,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000003,000BC21713F6,P300,ACTIVATED,00185803000bc21713f6,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000004,000BC21713F7,P300,ACTIVATED,00185803000bc21713f7,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000005,000BC21713F8,P300,ACTIVATED,00185803000bc21713f8,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000006,000BC21713F9,P300,ACTIVATED,00185803000bc21713f9,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000007,000BC21713FA,P300,ACTIVATED,00185803000bc21713fa,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000008,000BC21713FB,P300,ACTIVATED,00185803000bc21713fb,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000009,000BC21713FC,P300,ACTIVATED,00185803000bc21713fc,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000010,000BC21713FD,P300,ACTIVATED,00185803000bc21713fd,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000011,000BC21713FE,P300,ACTIVATED,00185803000bc21713fe,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000012,000BC21713FF,P300,ACTIVATED,00185803000bc21713ff,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000013,000BC2171400,P300,ACTIVATED,00185803000bc2171400,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000014,000BC2171401,P300,ACTIVATED,00185803000bc2171401,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000015,000BC2171402,P300,ACTIVATED,00185803000bc2171402,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000016,000BC2171403,P300,ACTIVATED,00185803000bc2171403,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000017,000BC2171404,P300,ACTIVATED,00185803000bc2171404,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000018,000BC2171405,P300,ACTIVATED,00185803000bc2171405,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000019,000BC2171406,P300,ACTIVATED,00185803000bc2171406,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000020,000BC2171407,P300,ACTIVATED,00185803000bc2171407,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000021,000BC2171408,P300,ACTIVATED,00185803000bc2171408,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000022,000BC2171409,P300,ACTIVATED,00185803000bc2171409,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000023,000BC217140A,P300,ACTIVATED,00185803000bc217140a,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000024,000BC217140B,P300,ACTIVATED,00185803000bc217140b,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000025,000BC217140C,P300,ACTIVATED,00185803000bc217140c,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000026,000BC217140D,P300,ACTIVATED,00185803000bc217140d,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000027,000BC217140E,P300,ACTIVATED,00185803000bc217140e,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000028,000BC217140F,P300,ACTIVATED,00185803000bc217140f,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000029,000BC2171410,P300,ACTIVATED,00185803000bc2171410,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000030,000BC2171411,P300,ACTIVATED,00185803000bc2171411,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000031,000BC2171412,P300,ACTIVATED,00185803000bc2171412,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000032,000BC2171413,P300,ACTIVATED,00185803000bc2171413,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000033,000BC2171414,P300,ACTIVATED,00185803000bc2171414,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000034,000BC2171415,P300,ACTIVATED,00185803000bc2171415,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000035,000BC2171416,P300,ACTIVATED,00185803000bc2171416,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000036,000BC2171417,P300,ACTIVATED,00185803000bc2171417,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000037,000BC2171418,P300,ACTIVATED,00185803000bc2171418,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000038,000BC2171419,P300,ACTIVATED,00185803000bc2171419,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000039,000BC217141A,P300,ACTIVATED,00185803000bc217141a,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000040,000BC217141B,P300,ACTIVATED,00185803000bc217141b,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000041,000BC217141C,P300,ACTIVATED,00185803000bc217141c,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000042,000BC217141D,P300,ACTIVATED,00185803000bc217141d,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000043,000BC217141E,P300,ACTIVATED,00185803000bc217141e,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000044,000BC217141F,P300,ACTIVATED,00185803000bc217141f,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000045,000BC2171420,P300,ACTIVATED,00185803000bc2171420,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
ECRX3623000046,000BC2171421,P300,ACTIVATED,00185803000bc2171421,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
