serialNumber,macAddress,type,registrationStatus,desiredConfigurationTemplate,desiredConfigurationMd5,desiredConfigurationSize
ECRX3623000001,000BC21713F4,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000002,000BC21713F5,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000003,000BC21713F6,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000004,000BC21713F7,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000005,000BC21713F8,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000006,000BC21713F9,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000007,000BC21713FA,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000008,000BC21713FB,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000009,000BC21713FC,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000010,000BC21713FD,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000011,000BC21713FE,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000012,000BC21713FF,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000013,000BC2171400,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000014,000BC2171401,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000015,000BC2171402,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000016,000BC2171403,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000017,000BC2171404,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000018,000BC2171405,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000019,000BC2171406,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000020,000BC2171407,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000021,000BC2171408,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000022,000BC2171409,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000023,000BC217140A,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000024,000BC217140B,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000025,000BC217140C,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000026,000BC217140D,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000027,000BC217140E,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000028,000BC217140F,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000029,000BC2171410,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000030,000BC2171411,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000031,000BC2171412,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000032,000BC2171413,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000033,000BC2171414,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000034,000BC2171415,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
