serialNumber,macAddress,type,registrationStatus,desiredConfigurationTemplate,desiredConfigurationMd5,desiredConfigurationSize
C100810250408813,00:0B:C2:21:00:76,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz,f09ffd00e02bf9ad2108ea5199d46d2c,195
C100810250410562,00:0B:C2:21:07:4B,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz,f09ffd00e02bf9ad2108ea5199d46d2c,195
C100810250411090,00:0B:C2:21:09:5B,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz,f09ffd00e02bf9ad2108ea5199d46d2c,195
C100810250411393,00:0B:C2:21:0A:8A,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz,f09ffd00e02bf9ad2108ea5199d46d2c,195
C100810250413360,00:0B:C2:21:12:39,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz,f09ffd00e02bf9ad2108ea5199d46d2c,195
C100810250413367,00:0B:C2:21:12:40,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz,f09ffd00e02bf9ad2108ea5199d46d2c,195
C100810250413371,00:0B:C2:21:12:44,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz,f09ffd00e02bf9ad2108ea5199d46d2c,195
C100810250413562,00:0B:C2:21:13:03,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz,f09ffd00e02bf9ad2108ea5199d46d2c,195
C100810250413571,00:0B:C2:21:13:0C,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz,f09ffd00e02bf9ad2108ea5199d46d2c,195
C100810250414417,00:0B:C2:21:16:5A,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz,f09ffd00e02bf9ad2108ea5199d46d2c,195
C100810250415459,00:0B:C2:21:1A:6C,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz,f09ffd00e02bf9ad2108ea5199d46d2c,195
C100810250415501,00:0B:C2:21:1A:96,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz,f09ffd00e02bf9ad2108ea5199d46d2c,195
C100810250415828,00:0B:C2:21:1B:DD,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz,f09ffd00e02bf9ad2108ea5199d46d2c,195
C100810250416004,00:0B:C2:21:1C:8D,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz,f09ffd00e02bf9ad2108ea5199d46d2c,195
C100810250416056,00:0B:C2:21:1C:C1,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz,f09ffd00e02bf9ad2108ea5199d46d2c,195
C100810250416209,00:0B:C2:21:1D:5A,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz,f09ffd00e02bf9ad2108ea5199d46d2c,195
